CustomerID,Recency,Frequency,Monetary,Segment,PCA1,PCA2,SegmentLabel,ChurnStatus,ValueCategory,MarketingSegment,Rank,CustomerFlag
12350.0,309,1,334.4,0,-1.2355926551807852,1.8346850586250087,Churn Risk,Active,Medium Value,Loyal Regulars,3074.0,Normal
12354.0,231,1,1079.4,0,-0.8862074546365422,1.1623799239549375,Churn Risk,Active,Medium Value,Loyal Regulars,1551.0,Normal
12355.0,213,1,459.4,0,-0.8612684699517148,0.9715723049881612,Churn Risk,Active,Medium Value,Loyal Regulars,2658.0,Normal
12358.0,1,2,1168.06,0,0.0835052375551541,-0.8978625049517851,Churn Risk,Active,Medium Value,Loyal Regulars,1458.0,Normal
12363.0,109,2,552.0,0,-0.3710422632583469,0.0517305144195846,Churn Risk,Active,Medium Value,Loyal Regulars,2436.0,Normal
12364.0,7,4,1313.1,0,0.24629708044591983,-0.8027848938372398,Churn Risk,Active,Medium Value,Loyal Regulars,1336.0,Normal
12365.0,290,2,641.38,0,-1.0539411677758315,1.6936949992517238,Churn Risk,Active,Medium Value,Loyal Regulars,2227.0,Normal
12372.0,71,3,1298.04,0,-0.08617059205355636,-0.2414271040969629,Churn Risk,Active,Medium Value,Loyal Regulars,1351.0,Normal
12373.0,310,1,364.6,0,-1.2372766254776175,1.8450943546531315,Churn Risk,Active,Medium Value,Loyal Regulars,2955.0,Normal
12374.0,24,1,742.9300000000001,0,-0.12168519717937674,-0.7259951751512144,Churn Risk,Active,Medium Value,Loyal Regulars,2012.0,Normal
12375.0,10,2,457.5,0,-0.0007304702387390634,-0.8484144917043243,Churn Risk,Active,Medium Value,Loyal Regulars,2665.0,Normal
12377.0,314,2,1628.12,0,-1.075936722130199,1.955313256848648,Churn Risk,Active,Medium Value,Loyal Regulars,1104.0,Normal
12379.0,81,2,852.24,0,-0.2433151363430068,-0.18813262225630842,Churn Risk,Active,Medium Value,Loyal Regulars,1844.0,Normal
12384.0,28,2,585.27,0,-0.0602832789336018,-0.6797719797192153,Churn Risk,Active,Medium Value,Loyal Regulars,2365.0,Normal
12390.0,79,1,549.84,0,-0.3446839648597586,-0.2369735289448996,Churn Risk,Active,Medium Value,Loyal Regulars,2441.0,Normal
12391.0,21,1,439.66,0,-0.1315883315974016,-0.7667995890503281,Churn Risk,Active,Medium Value,Loyal Regulars,2705.0,Normal
12393.0,71,4,1582.6000000000001,0,0.02155901444967952,-0.21148831352219366,Churn Risk,Active,Medium Value,Loyal Regulars,1135.0,Normal
12394.0,63,2,1272.48,0,-0.14522603019423122,-0.33209825498370554,Churn Risk,Active,Medium Value,Loyal Regulars,1369.0,Normal
12398.0,45,1,1635.6599999999999,0,-0.13886863330089463,-0.49575835786994965,Churn Risk,Active,Medium Value,Loyal Regulars,1101.0,Normal
12399.0,118,4,1108.65,0,-0.19072877083823198,0.19249108745021506,Churn Risk,Active,Medium Value,Loyal Regulars,1519.0,Normal
